Vendor,Rule,Inverted,Comment
aol,"^[a-z][a-z0-9_.]{2,30}[a-z0-9]$",0,"2-64 letters, numbers or special characters (lo-dash, dot) are allowed"
aol,[._]{2},1,More than one dot or lo-dash in a row is not allowed
google,"^[0-9a-z]{6,30}$",0,6-30 letters/numbers are allowed
google,^(abbott|abraham|adalberto|adamaris|addison|adelaide|adelard|adelia|adelina|adeline|adella|adolfo|adolph|adrian|adriana|adriane|adrianna|adrianne|adrienne|agatha|agness|agustin|aileen|aiyana|alaina|alanna|alanzo|albert|alberta|albertha|alberto|albertus|albina|alecia|alejandra|alejandro|alesha|alesia|alessandra|aletha|alexander|alexandra|alexandre|alexandria|alexia|alexis|alfonso|alfonzo|alford|alfred|alfreda|alfredo|alisha|alison|alissa|allean|alleen|allene|allison|allyson|almeda|almedia|almina|almira|alonso|alonzo|aloysius|alphonse|alphonso|alston|althea|alvaro|alvina|alycia|alysia|alyson|alyssa|amalia|amanda|ambrose|amelia|america|amparo|anastasia|anders|anderson|andrea|andreas|andres|andria|angela|angelia|angelica|angelina|angeline|angelique|angelita|angella|angelo|anibal|anissa|anitra|annabel|annabelle|annamarie|annemarie|annetta|annette|annmarie|anthony|antione|antionette|antoine|antoinette|antone|antonette|antonia|antonio|antony|antwan|araceli|aracely|archer|archie|ardella|ardith|aretha|ariana|arielle|arleen|arlena|arlene|arletta|arline|arlyne|armand|armida|armstead|arnett|arnold|arnoldo|arnulfo|artelia|arthur|arturo|arvilla|aryanna|asbury|ashely|ashlee|ashleigh|ashley|ashlie|ashton|athena|aubrey|aubrie|audrey|august|augusta|augustine|augustus|aurelia|aurelio|aurilla|aurora|austin|autumn)$,1,Name is not allowed
google,^(bailey|baldwin|ballard|barbara|barbie|barbra|barnard|barnett|barney|barrett|barron|bartholomew|bartley|barton|baxter|beadie|beatrice|beatriz|beckett|beckham|belinda|benedict|benita|benito|benjamin|bennett|bennie|benson|bentley|benton|bernadette|bernadine|bernard|bernardo|bernice|bernie|berniece|bernita|bertha|bertie|bertram|bessie|bethany|bettie|bettina|bettye|beulah|beverley|beverly|bianca|biddie|billie|birdie|birtie|bishop|blaine|blanca|blanch|blanchard|blanche|bobbie|bolden|bonita|bonnie|booker|boston|bowman|braden|bradford|bradley|bradly|branch|brandan|brandee|branden|brandi|brandie|brandon|brandt|brandy|brannon|branson|brantley|braxton|brayan|breanna|breanne|brenda|brendan|brendon|brenna|brennan|brenton|briana|brianna|brianne|bridget|bridgett|bridgette|brigette|brigitte|britney|britta|brittani|brittany|brittney|britton|broderick|bronson|brooke|brooks|bryant|bryson|buford|burgess|burnett|burney|burrell|burton|buster|butler)$,1,Name is not allowed
google,^(caiden|caitlin|caitlyn|calhoun|callie|calvin|cameron|camilla|camille|campbell|candace|candice|candida|candis|cannon|cappie|carina|carissa|carleen|carlene|carlisle|carlos|carlota|carlotta|carlton|carmel|carmela|carmelita|carmella|carmelo|carmen|carmine|carnell|carolann|carole|carolee|carolina|caroline|carolyn|carrie|carrol|carroll|carson|carter|casandra|casper|cassandra|cassidy|cassie|catalina|catharine|catherine|cathey|cathie|cathleen|cathrine|cathryn|catina|catrina|cecelia|cecile|cecilia|cecily|cedric|cedrick|celeste|celestine|celina|celine|chadwick|chance|chanda|chandler|chandra|chanel|chaney|chantal|chantel|chantelle|charissa|charisse|charity|charla|charle|charleen|charlene|charles|charley|charlie|charline|charlotte|charls|charmaine|charolette|chasity|chastity|chauncey|chelsea|chelsey|chelsie|cherie|cherise|cherri|cherrie|cherry|cheryl|cheryle|chester|cheyenne|chiquita|chloie|chrissy|christ|christa|christal|christel|christen|christi|christian|christiana|christie|christin|christina|christine|christoper|christopher|christy|chrystal|ciarra|cierra|cinthia|claire|clarence|clarice|clarinda|clarissa|clarke|clarnce|classie|claude|claudette|claudia|claudine|claudio|clayton|clella|clemens|clement|clemente|clementine|clemon|cletus|cleveland|clifford|clifton|clinton|clydie|clytie|colbert|coleen|coleman|colette|colleen|collette|collier|collin|collins|colton|columbus|colvin|concepcion|concetta|concha|conley|conner|connie|conrad|constance|consuelo|conway|coraima|corbett|corbin|cordelia|cordell|cordella|cordie|corene|corina|corine|corinna|corinne|cornelia|cornelius|cornell|corrie|corrina|corrine|cortez|cortney|council|courtney|crawford|cristal|cristi|cristina|cristine|cristobal|cristopher|cristy|crockett|crystal|cullen|curley|curtis|cynthia)$,1,Name is not allowed
google,^(dallas|dallin|dalton|damaris|dameon|damian|damien|damion|daneen|danelle|danette|danial|danica|daniel|daniela|daniella|danielle|danita|dannie|daphne|darcie|darell|darius|darleen|darlene|darline|darnell|darrel|darrell|darren|darrian|darrick|darrin|darron|darwin|daryle|davina|dawson|deandre|deangelo|deanna|deanne|debora|deborah|debrah|deedee|deidra|deidre|deirdre|delaney|delbert|delfina|deliah|delila|delilah|delinda|dellia|delmar|delmer|delmus|delois|delores|deloris|delphia|delphine|demarcus|demetra|demetria|demetrius|dempsey|deneen|denice|denise|denton|denver|denzil|derick|derrick|deshawn|desiree|desmond|dessie|destiny|dewayne|dexter|dianna|dianne|dillan|dillard|dillon|dionne|doctor|dollie|dolores|domenic|dominga|domingo|dominic|dominick|dominique|donald|donell|donita|donnell|donnie|donovan|dontae|dorcas|doreen|dorene|doretha|dorian|dorinda|dorman|dorothea|dorothy|dorris|dortha|dorthea|dorthey|dorthy|dottie|douglas|douglass|dozier|drusilla|dudley|duncan|dustin|dwayne|dwight|dyllan)$,1,Name is not allowed
google,^(earlene|earline|earnest|earnestine|eartha|easter|edgardo|edison|edmond|edmund|eduardo|edward|edwardo|edwina|edythe|efrain|eileen|elaina|elaine|elbert|eldora|eldridge|eleanor|eleanore|elenor|elijah|elinor|elisabeth|eliseo|elisha|elissa|elizabeth|elizebeth|elliot|elliott|ellison|ellsworth|elmira|elmore|elnora|elodie|eloise|elouise|elvera|elvira|elwood|emanuel|emerson|emilia|emilio|emmaline|emmanuel|emmett|emmitt|emmons|emogene|enriqueta|ephriam|erasmo|ericka|erlinda|ernest|ernestina|ernestine|ernesto|esmeralda|esperanza|esteban|estela|estell|estella|esther|estrella|ethelyn|eugene|eugenia|eugenio|eulalia|eunice|eusebio|eustace|evalyn|evangelina|evangeline|evelyn|everett|everette|evette|evonne|ezekiel|ezequiel)$,1,Name is not allowed
google,^(fabian|fabiola|fannie|farrah|farrell|farris|fatima|faustino|federico|felecia|felice|felicia|felicitas|felipa|felipe|felisha|felton|fenton|ferdinand|fernanda|fernando|ferrell|ferris|filomena|finley|fitzgerald|fletcher|flonnie|florence|florencio|florene|florentino|florida|flossie|forrest|foster|frances|francesca|francesco|francina|francine|francisca|francisco|franco|frankie|franklin|franklyn|frazier|freddie|freddy|frederick|fredric|fredrick|freeman|freida|french|frieda|friend|fuller|fulton)$,1,Name is not allowed
google,^(gabriel|gabriela|gabriella|gabrielle|gaines|gaither|gannon|gardner|garfield|garland|garner|garnet|garnett|garret|garrett|garrison|garvin|gaston|gaylord|gaynell|genaro|genesis|geneva|genevieve|genoveva|geoffrey|georganna|george|georgette|georgia|georgiana|georgianna|georgie|georgina|geraldine|geraldo|geralyn|gerard|gerardo|gerhardt|germaine|german|gertie|gertrude|gianna|gianni|gibson|gifford|gilbert|gilberto|gillian|gilman|gilmore|ginger|giovanna|giovanni|girtha|gisele|giselle|giuseppe|gladis|gladys|glenda|glenna|glenwood|gloria|glover|godfrey|golden|goldie|gordon|gracie|graciela|graham|granville|graves|grayson|greene|gregoria|gregorio|gregory|gretchen|griffin|griffith|griselda|grover|guadalupe|guillermo|gussie|gustavo|guthrie|gwendolyn)$,1,Name is not allowed
